days_to_departure,seats_remaining,historical_demand,competitor_price,booking_velocity,is_weekend,flight_capacity,occupied_seats,occupancy_rate,ticket_price
7,47,99,8154,29,0,220,173,0.7863636364,12594
21,119,23,5785,7,1,180,61,0.3388888889,8646
9,115,25,8723,17,0,220,105,0.4772727273,9557
39,155,77,8829,3,1,220,65,0.2954545455,8971
18,84,41,8063,20,1,220,136,0.6181818182,10667
4,99,45,7025,20,0,150,51,0.34,9520
25,122,22,6839,21,1,220,98,0.4454545455,9383
60,148,60,6322,30,1,150,2,0.01333333333,7872
14,12,79,8443,3,0,180,168,0.9333333333,11895
50,136,33,6424,3,0,220,84,0.3818181818,7503
58,108,94,3758,17,1,220,112,0.5090909091,8575
9,136,31,3782,7,0,220,84,0.3818181818,8085
26,29,31,5398,27,1,180,151,0.8388888889,10397
53,100,32,7635,26,1,150,50,0.3333333333,8386
2,159,44,6476,14,0,150,-9,-0.06,7940
20,97,64,5767,17,0,220,123,0.5590909091,10182
28,164,38,6700,18,0,180,16,0.08888888889,7878
47,65,74,8610,13,0,180,115,0.6388888889,9755
60,126,64,4112,20,1,180,54,0.3,7901
7,55,27,4187,29,1,180,125,0.6944444444,10620
44,151,72,7190,20,0,180,29,0.1611111111,8617
8,25,74,4112,21,0,150,125,0.8333333333,10729
47,9,51,5807,27,1,150,141,0.94,10690
35,96,70,6513,18,1,150,54,0.36,9245
14,174,63,5281,4,1,220,46,0.2090909091,8784
17,65,89,6091,1,1,180,115,0.6388888889,10596
36,26,37,6196,18,0,220,194,0.8818181818,9869
50,153,41,7458,1,1,180,27,0.15,7465
40,74,56,8748,26,1,150,76,0.5066666667,10525
4,5,75,4074,26,0,220,215,0.9772727273,11521
2,137,78,5410,13,1,150,13,0.08666666667,9547
6,16,22,8608,20,1,180,164,0.9111111111,11682
54,94,47,7104,20,0,180,86,0.4777777778,9196
42,50,93,4169,23,0,180,130,0.7222222222,9590
4,38,54,7864,10,0,150,112,0.7466666667,10813
54,82,80,4783,27,1,180,98,0.5444444444,9645
29,49,73,4423,11,1,150,101,0.6733333333,9802
18,159,82,4625,9,0,220,61,0.2772727273,8970
26,77,98,5029,9,0,180,103,0.5722222222,9781
44,30,26,5094,5,1,180,150,0.8333333333,8876
34,51,95,3746,26,0,180,129,0.7166666667,9928
10,125,68,7211,1,0,220,95,0.4318181818,9410
36,60,50,5060,17,0,180,120,0.6666666667,9002
14,98,77,5900,22,1,150,52,0.3466666667,10237
31,111,80,5743,2,1,150,39,0.26,8533
48,67,43,7364,24,1,180,113,0.6277777778,9731
15,52,39,5439,13,1,180,128,0.7111111111,9952
8,65,56,8525,9,1,220,155,0.7045454545,11577
14,85,23,6569,29,1,220,135,0.6136363636,10759
23,30,39,3726,4,0,220,190,0.8636363636,8983
60,40,79,7047,5,1,180,140,0.7777777778,9502
57,5,43,3764,11,1,220,215,0.9772727273,9181
40,12,69,4895,24,0,220,208,0.9454545455,10658
21,117,68,7057,19,1,150,33,0.22,10050
16,103,70,4145,21,1,220,117,0.5318181818,9816
45,51,55,6490,3,0,150,99,0.66,8974
18,131,85,8983,12,0,150,19,0.1266666667,9530
47,60,98,5399,26,0,220,160,0.7272727273,10150
53,18,53,6004,19,1,150,132,0.88,10131
24,32,55,6272,19,0,180,148,0.8222222222,10329
26,82,25,8845,13,1,180,98,0.5444444444,10214
25,134,58,8577,28,1,220,86,0.3909090909,10922
60,113,61,4654,7,1,180,67,0.3722222222,7988
60,158,77,4087,15,1,150,-8,-0.05333333333,6312
60,18,31,8071,23,0,180,162,0.9,9523
45,60,22,5321,7,0,220,160,0.7272727273,7694
41,119,37,4485,26,1,220,101,0.4590909091,8548
29,11,59,7579,8,0,150,139,0.9266666667,10002
15,7,40,6848,5,1,220,213,0.9681818182,11199
45,115,34,7331,21,1,180,65,0.3611111111,8843
1,155,45,4741,14,1,220,65,0.2954545455,9328
25,111,27,3689,4,0,150,39,0.26,6855
7,22,61,4480,23,1,220,198,0.9,11657
9,42,63,5198,10,1,180,138,0.7666666667,10616
24,119,33,5215,20,0,150,31,0.2066666667,7708
1,19,97,6093,15,0,180,161,0.8944444444,11742
44,123,21,7636,18,0,150,27,0.18,7466
8,32,56,8538,20,0,220,188,0.8545454545,11581
24,43,88,7933,13,1,150,107,0.7133333333,11326
11,21,57,8933,29,0,150,129,0.86,12200
51,90,60,4598,8,1,220,130,0.5909090909,8838
17,130,81,5826,9,0,180,50,0.2777777778,9430
8,48,79,6747,16,0,220,172,0.7818181818,11349
35,29,33,4395,19,0,150,121,0.8066666667,9240
35,149,21,5174,16,0,220,71,0.3227272727,7622
33,17,89,6409,7,0,150,133,0.8866666667,10136
59,29,36,4430,14,0,220,191,0.8681818182,8293
5,72,47,7884,28,1,220,148,0.6727272727,11649
42,142,85,4223,14,0,180,38,0.2111111111,7711
39,71,54,6440,25,0,150,79,0.5266666667,9262
58,113,24,4589,27,0,180,67,0.3722222222,7156
41,150,84,8078,4,0,150,0,0,7590
28,115,59,4435,26,1,220,105,0.4772727273,9595
7,115,95,5795,15,0,150,35,0.2333333333,9579
9,38,75,3655,3,0,180,142,0.7888888889,9366
8,115,55,4570,5,0,180,65,0.3611111111,8362
12,12,64,5458,1,0,180,168,0.9333333333,10554
34,172,42,6001,3,1,150,-22,-0.1466666667,7104
33,117,66,7719,15,0,180,63,0.35,8531
48,87,50,8563,24,1,180,93,0.5166666667,9633
55,46,30,7330,27,0,180,134,0.7444444444,9334
23,173,29,4354,8,1,220,47,0.2136363636,8046
24,105,86,4139,29,1,220,115,0.5227272727,10321
37,10,33,5738,4,0,150,140,0.9333333333,9103
35,30,99,5102,2,0,150,120,0.8,10207
44,68,93,3941,29,1,180,112,0.6222222222,10300
40,63,29,8128,24,1,220,157,0.7136363636,10450
22,113,95,4836,24,0,180,67,0.3722222222,9589
27,125,20,7200,10,1,180,55,0.3055555556,8860
35,37,24,4448,4,1,220,183,0.8318181818,8568
1,154,39,6873,3,1,220,66,0.3,9773
35,25,27,3959,2,0,220,195,0.8863636364,8563
37,74,62,8146,25,1,150,76,0.5066666667,10385
47,116,95,3892,17,1,150,34,0.2266666667,8177
14,8,20,7438,23,1,180,172,0.9555555556,11048
3,98,76,5287,21,0,150,52,0.3466666667,9987
1,79,83,8440,24,0,220,141,0.6409090909,12070
5,66,47,5757,20,1,220,154,0.7,11186
26,98,56,4638,23,0,150,52,0.3466666667,8851
55,99,66,7308,13,1,180,81,0.45,9087
14,156,95,8241,5,0,180,24,0.1333333333,9224
39,59,56,5954,30,0,150,91,0.6066666667,9793
27,141,68,4966,21,1,180,39,0.2166666667,8747
9,135,63,7174,30,0,180,45,0.25,10289
15,35,75,4877,9,0,180,145,0.8055555556,10355
15,44,47,6097,25,0,220,176,0.8,10708
26,40,98,3641,29,1,220,180,0.8181818182,11550
42,156,25,6159,25,0,150,-6,-0.04,7125
60,10,80,8096,28,0,220,210,0.9545454545,11000
13,70,39,4339,22,1,180,110,0.6111111111,9830
51,79,97,7118,6,0,220,141,0.6409090909,9664
32,8,21,7417,5,0,150,142,0.9466666667,9524
39,83,92,4095,25,0,220,137,0.6227272727,9855
49,138,56,5404,10,0,180,42,0.2333333333,6938
52,122,39,3780,8,0,180,58,0.3222222222,6650
32,117,45,3923,7,1,150,33,0.22,7471
4,98,48,7865,7,1,220,122,0.5545454545,10916
30,66,20,7749,6,0,220,154,0.7,9436
37,83,54,5250,21,0,220,137,0.6227272727,9242
23,140,89,8257,29,0,180,40,0.2222222222,10184
39,30,78,5467,20,1,150,120,0.8,10782
45,177,88,7588,3,1,220,43,0.1954545455,8978
15,48,52,7678,19,0,180,132,0.7333333333,10805
43,137,70,6446,22,0,180,43,0.2388888889,8328
29,74,97,4949,15,1,180,106,0.5888888889,10522
36,158,31,8894,4,0,220,62,0.2818181818,7642
13,122,39,5831,28,1,220,98,0.4454545455,10349
32,72,72,8575,12,1,220,148,0.6727272727,10680
7,23,62,5720,6,0,220,197,0.8954545455,10737
59,24,69,7289,19,1,220,196,0.8909090909,10666
51,117,48,6310,4,0,220,103,0.4681818182,7697
22,144,76,8994,15,0,220,76,0.3454545455,10170
28,51,58,8228,9,0,220,169,0.7681818182,10625
2,5,75,5031,5,0,220,215,0.9772727273,11272
42,94,62,8382,13,0,180,86,0.4777777778,9308
45,146,69,6490,23,0,220,74,0.3363636364,8674
57,68,42,7993,26,1,150,82,0.5466666667,9438
53,42,63,4643,18,1,180,138,0.7666666667,9191
6,41,57,4433,30,1,220,179,0.8136363636,11442
28,130,42,4960,30,1,150,20,0.1333333333,8244
28,143,64,6223,5,0,220,77,0.35,8328
44,104,71,6012,25,1,150,46,0.3066666667,8635
44,81,99,3785,16,1,150,69,0.46,9294
20,7,69,3764,27,1,150,143,0.9533333333,11811
30,165,27,5867,19,0,150,-15,-0.1,6754
11,138,20,6947,14,1,180,42,0.2333333333,9243
58,14,27,8822,25,0,180,166,0.9222222222,10185
55,9,48,8416,30,1,150,141,0.94,10713
28,155,24,5262,16,0,220,65,0.2954545455,7568
25,142,66,6548,27,0,150,8,0.05333333333,8903
39,176,53,5881,15,1,180,4,0.02222222222,7728
33,134,84,5769,22,0,220,86,0.3909090909,9019
1,17,74,3540,4,0,180,163,0.9055555556,10479
57,172,62,3567,7,1,180,8,0.04444444444,6596
27,134,93,4487,16,1,220,86,0.3909090909,9485
57,88,49,7508,24,1,150,62,0.4133333333,8250
52,69,36,6698,22,0,150,81,0.54,8412
13,67,45,8874,21,0,150,83,0.5533333333,10508
41,105,27,8290,22,0,150,45,0.3,8396
3,77,66,6024,21,1,220,143,0.65,11689
39,21,95,4585,8,0,220,199,0.9045454545,10098
6,13,91,5979,17,0,220,207,0.9409090909,12001
8,147,65,5193,16,0,180,33,0.1833333333,9162
27,156,87,5815,27,0,220,64,0.2909090909,9495
9,42,52,8654,23,0,150,108,0.72,11884
37,167,20,4278,10,0,180,13,0.07222222222,5985
33,98,38,8089,10,0,150,52,0.3466666667,8308
51,99,50,5085,27,1,150,51,0.34,8605
42,53,99,4992,2,1,220,167,0.7590909091,10321
44,73,33,4160,30,1,220,147,0.6681818182,9198
24,66,72,4848,9,0,150,84,0.56,9010
15,82,67,8923,17,0,150,68,0.4533333333,10907
59,121,88,4799,11,1,180,59,0.3277777778,7989
54,124,81,7440,10,0,220,96,0.4363636364,8772
32,141,85,5486,22,1,180,39,0.2166666667,9630
32,166,83,5544,25,0,180,14,0.07777777778,8358
24,80,89,7016,17,0,180,100,0.5555555556,10222
41,39,82,8943,4,1,150,111,0.74,10598
52,5,92,4558,16,1,180,175,0.9722222222,10778
49,44,52,4476,20,1,180,136,0.7555555556,9672
49,68,60,8077,15,1,150,82,0.5466666667,9658
58,154,67,4227,25,1,220,66,0.3,8579
52,64,32,6027,27,0,220,156,0.7090909091,8943
12,68,92,6636,21,0,180,112,0.6222222222,11420
39,97,96,8627,5,0,150,53,0.3533333333,9247
2,76,50,3842,6,1,220,144,0.6545454545,10648
3,15,94,4947,17,1,180,165,0.9166666667,12661
49,109,87,5879,1,1,180,71,0.3944444444,8607
37,18,23,7159,25,1,150,132,0.88,10882
49,64,38,4026,19,1,180,116,0.6444444444,9020
56,34,89,5396,4,1,220,186,0.8454545455,10156
17,39,32,8254,17,0,150,111,0.74,9839
59,169,42,5573,9,0,220,51,0.2318181818,6875
49,9,94,8415,24,0,220,211,0.9590909091,11534
2,87,20,3905,2,0,220,133,0.6045454545,8868
2,127,73,5073,8,0,180,53,0.2944444444,9330
28,82,90,8100,15,1,180,98,0.5444444444,10985
54,158,34,7240,7,1,220,62,0.2818181818,8043
23,66,84,7774,27,1,220,154,0.7,11930
37,136,95,7727,6,1,150,14,0.09333333333,8991
32,93,90,5346,1,1,150,57,0.38,9396
33,46,34,4978,15,1,180,134,0.7444444444,9664
1,93,40,5895,23,0,180,87,0.4833333333,10142
19,150,38,4271,26,1,150,0,0,8564
2,44,79,4078,7,1,220,176,0.8,11008
53,76,52,6401,29,1,180,104,0.5777777778,9151
44,43,68,3693,30,1,220,177,0.8045454545,10189
26,108,54,5507,25,0,150,42,0.28,8807
32,18,63,4685,17,0,180,162,0.9,10261
6,36,30,5894,2,1,180,144,0.8,10400
32,129,91,6498,27,0,150,21,0.14,9296
55,170,97,8980,9,0,180,10,0.05555555556,8774
4,101,93,5292,29,1,150,49,0.3266666667,11152
55,27,85,4610,9,1,180,153,0.85,9967
11,67,65,7505,13,1,150,83,0.5533333333,10844
56,147,28,5761,6,1,180,33,0.1833333333,6498
59,157,22,7236,6,1,220,63,0.2863636364,6735
17,149,45,7293,20,0,220,71,0.3227272727,9177
38,57,91,5436,20,1,220,163,0.7409090909,10045
24,108,67,8375,21,1,180,72,0.4,10623
5,108,85,7857,3,1,180,72,0.4,10629
52,43,89,4229,17,0,220,177,0.8045454545,9120
34,138,47,7878,17,1,220,82,0.3727272727,9471
6,71,45,6951,12,1,150,79,0.5266666667,10253
22,139,44,7957,16,1,150,11,0.07333333333,9004
11,46,31,8036,15,0,150,104,0.6933333333,10564
48,19,24,5640,13,1,220,201,0.9136363636,9282
16,115,67,5144,23,1,220,105,0.4772727273,10209
33,161,56,6300,1,1,220,59,0.2681818182,8421
9,37,98,8462,17,0,150,113,0.7533333333,11668
60,159,63,3641,3,1,180,21,0.1166666667,6553
59,168,34,8910,26,1,220,52,0.2363636364,8136
6,161,62,4955,15,1,180,19,0.1055555556,9228
16,42,67,8296,4,0,180,138,0.7666666667,10651
29,101,89,8593,4,1,180,79,0.4388888889,9933
3,159,65,5596,18,1,150,-9,-0.06,8869
20,37,62,4825,17,1,180,143,0.7944444444,10566
60,90,40,8476,19,0,220,130,0.5909090909,9044
59,70,42,4713,11,0,150,80,0.5333333333,7498
36,14,99,4659,20,1,220,206,0.9363636364,11057
19,9,66,8150,3,0,220,211,0.9590909091,11555
26,127,34,7999,8,0,150,23,0.1533333333,8198
3,78,44,8487,14,0,220,142,0.6454545455,10751
19,101,55,8197,26,1,220,119,0.5409090909,10619
20,122,94,3840,1,1,150,28,0.1866666667,8541
32,42,70,7328,14,0,220,178,0.8090909091,10434
7,145,34,5468,2,0,180,35,0.1944444444,8080
52,163,87,4203,29,0,220,57,0.2590909091,8341
41,51,40,7913,23,1,180,129,0.7166666667,10520
33,113,32,8982,4,1,220,107,0.4863636364,8963
40,19,38,5929,24,0,150,131,0.8733333333,9878
39,161,53,5300,27,0,150,-11,-0.07333333333,7199
18,140,97,8963,29,0,220,80,0.3636363636,11732
40,9,87,8412,19,0,150,141,0.94,11370
1,161,71,8148,6,1,220,59,0.2681818182,10239
11,51,46,4355,25,0,150,99,0.66,10014
28,72,48,5312,1,1,180,108,0.6,9145
57,80,47,6366,17,0,220,140,0.6363636364,8049
25,177,54,7142,8,0,180,3,0.01666666667,7915
50,134,27,3682,19,0,180,46,0.2555555556,6611
23,159,35,6612,21,0,220,61,0.2772727273,8638
31,99,55,7992,1,0,180,81,0.45,8670
30,119,49,5017,5,1,220,101,0.4590909091,8465
42,168,37,8502,27,0,180,12,0.06666666667,8286
35,40,21,4856,16,0,220,180,0.8181818182,9259
7,30,68,5674,6,0,220,190,0.8636363636,10903
60,47,96,7129,8,1,150,103,0.6866666667,9398
16,31,23,7128,13,1,220,189,0.8590909091,10889
26,73,94,7596,16,1,220,147,0.6681818182,10897
48,152,26,6739,30,1,180,28,0.1555555556,7924
57,15,93,7191,3,0,220,205,0.9318181818,10194
52,78,58,3518,19,0,150,72,0.48,7973
60,108,32,6903,12,0,180,72,0.4,7536
49,42,50,8179,16,1,180,138,0.7666666667,10518
2,138,90,8051,27,0,150,12,0.08,10488
1,27,82,6504,11,0,180,153,0.85,11097
48,51,75,4632,10,1,180,129,0.7166666667,9336
12,94,61,6839,25,1,180,86,0.4777777778,10786
5,50,80,6811,20,1,180,130,0.7222222222,11895
37,111,61,6872,4,0,150,39,0.26,7887
32,144,75,4487,12,0,150,6,0.04,7234
59,145,55,6821,23,1,180,35,0.1944444444,8719
55,108,87,8115,2,0,180,72,0.4,8443
9,115,26,8454,24,1,150,35,0.2333333333,10494
41,108,73,3673,22,1,150,42,0.28,8222
35,64,20,8962,19,0,150,86,0.5733333333,9525
19,175,63,7241,25,1,180,5,0.02777777778,9395
48,104,64,6552,5,1,180,76,0.4222222222,8421
16,72,66,4226,8,1,220,148,0.6727272727,9966
3,137,32,7260,7,0,150,13,0.08666666667,8387
20,124,41,5375,14,1,180,56,0.3111111111,8694
24,41,40,7533,24,1,150,109,0.7266666667,10819
54,76,28,8943,23,1,180,104,0.5777777778,8897
56,131,45,4489,3,1,150,19,0.1266666667,6735
33,110,28,7244,18,1,180,70,0.3888888889,9363
24,96,34,6186,16,1,220,124,0.5636363636,9783
52,35,29,3919,23,1,220,185,0.8409090909,9676
11,126,61,4093,19,0,150,24,0.16,8652
49,141,91,5274,19,0,180,39,0.2166666667,8442
8,55,43,5959,18,1,180,125,0.6944444444,11107
36,33,99,4435,20,0,150,117,0.78,9583
38,44,68,8703,16,0,180,136,0.7555555556,10602
40,45,45,8732,8,1,150,105,0.7,9727
20,15,56,7308,28,0,180,165,0.9166666667,11170
35,155,87,3831,1,1,150,-5,-0.03333333333,7082
48,5,69,6949,17,1,180,175,0.9722222222,10833
25,50,43,6202,12,1,150,100,0.6666666667,10132
35,105,38,7506,30,1,180,75,0.4166666667,9844
25,153,79,8554,21,1,220,67,0.3045454545,10431
29,94,58,7368,11,0,180,86,0.4777777778,9470
18,114,93,7700,5,1,150,36,0.24,10160
46,168,37,3701,27,0,220,52,0.2363636364,7346
18,61,38,5997,12,1,180,119,0.6611111111,9625
2,5,55,5342,17,1,220,215,0.9772727273,11697
54,67,93,5366,6,1,180,113,0.6277777778,9325
35,59,74,5496,1,0,220,161,0.7318181818,9495
16,119,88,8885,5,1,150,31,0.2066666667,9808
41,172,66,4409,25,1,180,8,0.04444444444,7961
36,147,68,7805,28,1,180,33,0.1833333333,9154
33,153,52,8158,14,1,150,-3,-0.02,8607
4,179,40,6689,5,0,220,41,0.1863636364,8647
33,57,100,4270,22,1,150,93,0.62,10106
14,141,41,6655,24,0,150,9,0.06,8194
21,61,67,6001,27,1,220,159,0.7227272727,11281
48,121,56,6214,1,0,150,29,0.1933333333,7440
20,158,34,8224,30,0,180,22,0.1222222222,8710
56,173,54,7085,18,1,180,7,0.03888888889,7827
8,39,90,5128,16,1,180,141,0.7833333333,11496
7,67,51,3886,9,0,150,83,0.5533333333,9425
3,29,30,6921,19,1,180,151,0.8388888889,11618
17,94,29,8700,22,1,180,86,0.4777777778,10444
33,79,92,7508,5,1,180,101,0.5611111111,9878
48,42,97,7593,27,0,180,138,0.7666666667,10980
12,134,96,7863,2,1,180,46,0.2555555556,10336
59,139,76,5966,30,1,180,41,0.2277777778,8730
51,166,44,5782,15,1,150,-16,-0.1066666667,6806
22,95,21,5356,7,0,180,85,0.4722222222,7989
55,21,83,5498,4,1,180,159,0.8833333333,10104
22,132,54,8976,1,0,220,88,0.4,9506
46,175,26,4736,13,1,150,-25,-0.1666666667,5828
30,112,37,8169,20,0,150,38,0.2533333333,9047
38,156,86,7644,22,1,150,-6,-0.04,8912
38,29,61,4650,7,1,150,121,0.8066666667,9728
45,92,58,7818,15,0,180,88,0.4888888889,8971
51,165,60,4931,23,0,180,15,0.08333333333,7163
54,33,94,5319,14,0,220,187,0.85,10114
8,67,43,5824,23,1,220,153,0.6954545455,11200
27,154,79,4630,19,1,150,-4,-0.02666666667,8572
27,158,65,6158,22,1,220,62,0.2818181818,9526
34,160,38,7000,29,1,220,60,0.2727272727,9399
21,118,87,3874,24,0,150,32,0.2133333333,8671
30,53,61,5620,20,1,150,97,0.6466666667,10339
33,85,51,7520,29,1,220,135,0.6136363636,10561
28,88,58,5521,24,1,180,92,0.5111111111,9403
47,109,55,7205,18,1,220,111,0.5045454545,8993
33,152,55,8649,10,1,220,68,0.3090909091,9209
5,122,22,6759,9,1,180,58,0.3222222222,9396
60,90,92,6935,25,1,180,90,0.5,9599
48,67,27,5389,8,0,150,83,0.5533333333,7545
19,108,89,5323,26,1,150,42,0.28,10309
4,53,60,4974,30,1,220,167,0.7590909091,11472
35,75,87,5742,29,1,180,105,0.5833333333,10974
49,5,32,8775,10,1,150,145,0.9666666667,10696
17,145,68,6743,17,0,220,75,0.3409090909,9538
44,127,79,8660,2,0,180,53,0.2944444444,8789
28,66,21,6634,6,0,220,154,0.7,9121
30,36,79,5570,26,0,150,114,0.76,10493
29,162,24,3859,5,0,150,-12,-0.08,6132
46,33,63,5541,28,0,180,147,0.8166666667,10191
53,53,46,4641,30,1,220,167,0.7590909091,9322
6,177,51,5135,9,0,180,3,0.01666666667,7995
35,34,40,8999,5,0,150,116,0.7733333333,9875
60,148,27,7500,18,1,150,2,0.01333333333,7243
41,172,91,5443,26,0,220,48,0.2181818182,8617
37,23,69,8274,20,1,220,197,0.8954545455,11352
24,22,86,6861,9,1,220,198,0.9,11580
29,5,63,6480,17,0,180,175,0.9722222222,11146
49,82,77,3506,27,1,220,138,0.6272727273,9174
46,119,22,6767,17,0,220,101,0.4590909091,7794
53,179,89,5091,12,0,150,-29,-0.1933333333,6330
31,117,21,8428,7,1,150,33,0.22,8319
35,118,63,6764,27,1,220,102,0.4636363636,9595
60,170,21,6106,3,0,220,50,0.2272727273,6566
33,67,100,6719,10,1,150,83,0.5533333333,10402
52,136,54,6773,2,1,220,84,0.3818181818,8091
21,133,49,4413,25,0,180,47,0.2611111111,8914
32,12,27,5511,3,0,180,168,0.9333333333,9428
23,161,41,4942,16,1,180,19,0.1055555556,8011
33,59,63,6554,2,0,220,161,0.7318181818,9524
3,107,77,7046,28,0,150,43,0.2866666667,10472
18,135,55,7721,24,0,220,85,0.3863636364,10251
25,36,88,8412,10,0,220,184,0.8363636364,11229
42,14,96,6428,6,0,150,136,0.9066666667,10034
31,114,50,5329,22,0,150,36,0.24,7768
54,166,66,4075,26,0,150,-16,-0.1066666667,6876
58,128,74,4429,11,1,180,52,0.2888888889,7564
3,91,99,7259,23,0,220,129,0.5863636364,11823
40,59,81,7199,7,1,150,91,0.6066666667,10041
46,36,49,4963,27,1,220,184,0.8363636364,9963
24,139,74,6775,29,1,180,41,0.2277777778,9919
50,97,35,8428,15,0,180,83,0.4611111111,8891
32,12,31,4554,6,0,150,138,0.92,8784
47,69,36,5400,20,1,150,81,0.54,8676
22,61,35,4957,27,0,220,159,0.7227272727,10039
23,71,31,4899,9,1,150,79,0.5266666667,8652
2,76,27,6915,22,0,220,144,0.6545454545,10808
27,58,22,3942,20,0,150,92,0.6133333333,8800
42,71,35,7150,12,1,220,149,0.6772727273,9567
2,55,49,8152,19,1,220,165,0.75,11739
26,101,42,4678,20,1,220,119,0.5409090909,9085
17,96,24,7958,3,0,220,124,0.5636363636,9399
40,12,84,4757,15,1,180,168,0.9333333333,11413
33,166,49,7134,2,0,220,54,0.2454545455,7953
9,39,40,5341,30,0,150,111,0.74,10154
43,100,89,5809,21,0,180,80,0.4444444444,9332
54,92,41,4410,2,1,180,88,0.4888888889,7802
48,82,91,7840,22,1,220,138,0.6272727273,10440
39,36,51,8137,3,1,180,144,0.8,10031
29,124,52,7509,6,0,220,96,0.4363636364,8730
42,50,35,5669,15,0,150,100,0.6666666667,8569
55,148,95,5672,27,1,220,72,0.3272727273,9187
26,169,57,3623,10,0,180,11,0.06111111111,6940
35,146,33,6658,9,0,150,4,0.02666666667,6720
50,59,55,4285,1,1,220,161,0.7318181818,8685
25,180,42,5916,16,1,150,-30,-0.2,7374
24,11,85,4296,6,1,150,139,0.9266666667,10745
13,78,21,7672,9,0,180,102,0.5666666667,9477
60,11,92,7654,27,0,150,139,0.9266666667,10414
58,165,84,5436,4,0,180,15,0.08333333333,6897
7,155,94,5656,27,0,150,-5,-0.03333333333,9202
57,89,86,7307,28,0,220,131,0.5954545455,9806
36,151,71,4801,2,1,150,-1,-0.006666666667,7468
45,116,81,7663,29,0,220,104,0.4727272727,10115
20,129,42,6640,4,0,220,91,0.4136363636,8723
1,151,45,6736,1,0,150,-1,-0.006666666667,8341
8,40,87,5852,19,1,220,180,0.8181818182,11888
46,33,74,5432,26,1,150,117,0.78,10361
16,86,25,6221,25,1,150,64,0.4266666667,9678
14,6,54,3864,10,0,220,214,0.9727272727,10510
12,133,41,8416,21,1,220,87,0.3954545455,10601
51,51,62,8998,15,1,180,129,0.7166666667,10389
23,152,34,5890,27,1,220,68,0.3090909091,8945
15,15,79,4446,22,0,180,165,0.9166666667,11282
28,134,31,4877,19,1,220,86,0.3909090909,8520
34,123,68,4939,16,0,150,27,0.18,7740
2,144,61,6680,21,0,220,76,0.3454545455,9785
32,24,57,8357,27,1,150,126,0.84,11539
23,9,64,3840,24,0,150,141,0.94,10870
22,41,54,6489,22,1,150,109,0.7266666667,10633
51,170,49,3882,4,0,180,10,0.05555555556,6394
